CarParkID,Area,Development,Location,AvailableLots,LotType,Agency
S0150,,SULTAN GATE / ALIWAL STREET OFF STREET,1.3024545607005944 103.86058819582028,45,C,URA
S0166,,SEMBAWANG RD/ADMIRALTY  RD EAST OFF STREET,1.453699410782659 103.83314342266785,10,Y,URA
S0166,,SEMBAWANG RD/ADMIRALTY  RD EAST OFF STREET,1.453699410782659 103.83314342266785,44,C,URA
S0171,,SPOONER ROAD OFF STREET,1.2756889219219043 103.8350591496928,100,C,URA
T0017,,TIONG BAHRU PARK OFF STREET,1.2869316650017533 103.82464089829915,20,C,URA
T0103,,TEMBELING ROAD OFF STREET,1.3128601116279206 103.90081283677726,155,C,URA
T0103,,TEMBELING ROAD OFF STREET,1.3128601116279206 103.90081283677726,35,Y,URA
T0129,,TANJONG KATONG COMPLEX,1.3168901823921382 103.89522931567416,369,C,URA
T0140,,TANJONG KATONG ROAD OFF STREET,1.3068395612884625 103.89608109872438,20,Y,URA
T0140,,TANJONG KATONG ROAD OFF STREET,1.3068395612884625 103.89608109872438,119,C,URA
T0141,,TANJONG KATONG RD OFF ST (OPP WILKINSON RD),1.3039250916354699 103.89688542898858,30,C,URA
T0141,,TANJONG KATONG RD OFF ST (OPP WILKINSON RD),1.3039250916354699 103.89688542898858,7,Y,URA
U0036,,UPPER EAST COAST ROAD OFF STREET,1.3122387155540085 103.92605288490613,51,C,URA
U0042,,UPPER CHANGI ROAD / BEDOK ROAD OFF STREET,1.3321242011794179 103.9464677456276,47,C,URA
V0007,,VERDUN ROAD OFF STREET,1.310324224867271 103.85612855572867,17,C,URA
W0029,,WEST COAST PARK 1 OFF STREET,1.2896228087061794 103.77142607054463,64,C,URA
W0055,,WARNA ROAD OFF STREET,1.3110802058970243 103.79619690369877,39,C,URA
Y0019,,YAN KIT ROAD / CANTONMENT ROAD OFF ST,1.274548916040047 103.8414295793987,0,Y,URA
Y0019,,YAN KIT ROAD / CANTONMENT ROAD OFF ST,1.274548916040047 103.8414295793987,15,C,URA
A2,,BLK 206/207 ANG MO KIO STREET 22,1.366237056 103.8430464,75,C,HDB
A4,,BLK 217/220 ANG MO KIO AVENUE 1,1.365691621 103.8411922,96,C,HDB
A7,,BLK 212/213 ANG MO KIO STREET 23,1.368392487 103.8413018,106,C,HDB
A8,,BLK 209/210 ANG MO KIO STREET 22,1.368756071 103.8433077,5,C,HDB
A9,,BLK 202/203 ANG MO KIO STREET 22,1.36807437 103.8443922,56,C,HDB
B6,,BLK 204/209 NEW UPPER CHANGI ROAD,1.326330497 103.9303395,491,C,HDB
B7,,BLK 211/218 BEDOK NORTH STREET 1,1.32513124 103.9319217,42,C,HDB
B8,,BLK 201/203 BEDOK NORTH STREET 1,1.325881496 103.9282762,52,C,HDB
